EAR,MAR,Pitch,Roll,Yaw,Label
0.311,0.0029,-0.1,3.57,-1.58,Alert
0.3011,0.0024,-0.33,3.45,-1.41,Alert
0.3011,0.0031,-0.04,3.49,-0.82,Alert
0.3048,0.0025,-0.5,3.39,-0.99,Alert
0.3007,0.0027,0.16,3.44,-0.97,Alert
0.2982,0.0033,-0.43,3.31,-0.73,Alert
0.2945,0.0022,-0.34,3.36,-0.8,Alert
0.2964,0.0026,0.01,3.28,-0.96,Alert
0.2969,0.0027,-0.29,3.4,-1.29,Alert
0.2949,0.0028,-0.26,3.48,-1.13,Alert
0.3092,0.0028,0.01,3.36,-1.15,Alert
0.2949,0.0026,-0.52,3.37,-1.21,Alert
0.2972,0.0025,-0.38,3.28,-0.93,Alert
0.2987,0.0017,-0.61,3.24,-0.4,Alert
0.3029,0.0011,-0.85,3.35,-1.1,Alert
0.3033,0.0013,-0.72,3.37,-0.94,Alert
0.3007,0.0017,-0.28,3.55,-0.48,Alert
0.3087,0.0027,-0.42,3.43,-1.35,Alert
0.3128,0.0022,-0.5,3.45,-0.59,Alert
0.3026,0.0024,-0.49,3.45,-1.32,Alert
0.3012,0.0022,-0.45,3.36,-1.3,Alert
0.3026,0.0025,-0.03,3.41,-1.49,Alert
0.3146,0.0022,-0.68,3.3,-0.68,Alert
0.3066,0.0022,0.03,3.42,-1.91,Alert
0.3006,0.0025,-0.05,3.44,-1.46,Alert
0.3166,0.0026,0.21,3.46,-1.59,Alert
0.3085,0.0023,-0.53,3.35,-1.02,Alert
0.3068,0.0029,0.07,3.36,-1.74,Alert
0.2947,0.0026,0.05,3.42,-1.12,Alert
0.3104,0.002,-0.49,3.38,-0.99,Alert
0.3004,0.0028,-0.19,3.41,-1.38,Alert
0.3064,0.0014,-0.72,3.36,-0.48,Alert
0.3008,0.0019,-0.57,3.32,-0.63,Alert
0.3011,0.0025,-0.12,3.34,-0.94,Alert
0.2969,0.0015,-0.88,3.35,-1.04,Alert
0.2928,0.002,-0.23,3.44,-0.44,Alert
0.2998,0.0027,0.43,3.47,-0.77,Alert
0.31,0.0018,0.46,3.56,-0.6,Alert
0.3189,0.0025,0.59,3.45,-0.99,Alert
0.3075,0.0021,0.49,3.45,-1.55,Alert
0.299,0.0022,0.87,3.53,-1.18,Alert
0.2994,0.0024,1.07,3.22,-0.4,Alert
0.3002,0.0016,0.82,3.17,-0.93,Alert
0.2939,0.0023,0.72,3.24,-1.02,Alert
0.2964,0.0023,0.18,3.17,-0.89,Alert
0.3017,0.0017,0.28,3.07,-0.91,Alert
0.3017,0.0026,-0.02,3.17,-0.08,Alert
0.3127,0.0026,0.59,3.01,-0.45,Alert
0.3136,0.0023,0.82,3.04,-0.48,Alert
0.3075,0.0022,0.78,3.1,-0.15,Alert
0.3053,0.0013,0.24,3.13,0.81,Alert
0.2975,0.001,0.02,3.23,0.19,Alert
0.2944,0.0027,0.41,3.05,0.7,Alert
0.2976,0.0031,0.7,3.1,-0.06,Alert
0.2941,0.002,0.58,3.05,-0.29,Alert
0.296,0.0019,0.98,3.03,-0.05,Alert
0.2941,0.002,0.7,3.08,-0.34,Alert
0.2619,0.0032,0.78,3.0,-0.73,Alert
0.2331,0.0024,-0.42,3.1,-1.12,Alert
0.2225,0.0026,-0.87,3.17,-1.36,Alert
0.2191,0.0018,-0.75,3.21,-1.38,Alert
0.2241,0.0038,0.04,3.35,-1.34,Alert
0.2271,0.0032,-0.2,3.3,-1.78,Alert
0.2199,0.0018,-0.03,3.24,-2.04,Alert
0.2128,0.003,-0.82,3.17,-1.86,Alert
0.2134,0.0035,-1.04,3.21,-2.2,Alert
0.2034,0.0028,0.06,3.28,-2.15,Alert
0.2036,0.0025,0.04,3.22,-1.58,Alert
0.198,0.0022,-0.53,3.47,-2.13,Alert
0.229,0.0012,0.04,3.16,-2.02,Alert
0.2561,0.0018,0.63,3.24,-0.9,Alert
0.2604,0.0013,0.06,3.14,-1.42,Alert
0.2753,0.0019,0.6,3.15,-1.71,Alert
0.2748,0.0019,0.38,3.15,-1.06,Alert
0.2774,0.0018,0.25,3.08,-1.3,Alert
0.2841,0.0019,0.2,3.1,-1.12,Alert
0.2909,0.0025,0.31,3.17,-1.25,Alert
0.2921,0.0021,0.49,3.17,-1.71,Alert
0.2902,0.0018,0.54,3.1,-1.31,Alert
0.2929,0.0007,0.11,2.99,-0.67,Alert
0.289,0.0013,0.65,3.11,-1.06,Alert
0.2825,0.0019,0.29,3.13,-0.62,Alert
0.2851,0.0017,0.34,3.05,-0.32,Alert
0.2798,0.0023,0.74,3.06,0.18,Alert
0.2876,0.0026,0.35,3.13,-0.26,Alert
0.301,0.0027,0.65,3.31,-1.79,Alert
0.2941,0.0019,0.47,3.36,-1.93,Alert
0.2986,0.0023,0.5,3.27,-1.3,Alert
0.2981,0.0019,0.47,3.3,-1.32,Alert
0.2989,0.0017,0.07,3.25,-0.73,Alert
0.29,0.0011,0.19,3.16,-0.92,Alert
0.2904,0.0012,0.29,3.3,-0.66,Alert
0.2904,0.0019,0.56,3.27,-1.38,Alert
0.2987,0.0013,0.95,3.15,-0.15,Alert
0.3011,0.0013,0.97,3.28,-0.93,Alert
0.297,0.0019,0.42,3.06,-0.65,Alert
0.3055,0.0025,0.24,3.11,-0.55,Alert
0.3035,0.0017,0.89,3.16,-0.38,Alert
0.2975,0.0015,0.81,3.13,-0.07,Alert
0.2999,0.0027,1.46,3.22,-0.54,Alert
0.2928,0.0031,1.94,3.09,0.01,Alert
0.2894,0.0026,1.51,3.19,-0.61,Alert
0.2963,0.0035,1.2,3.14,-0.51,Alert
0.2959,0.0035,0.92,3.11,-0.49,Alert
0.2902,0.0018,0.96,3.11,-0.78,Alert
0.2958,0.003,0.96,3.15,-0.65,Alert
0.3061,0.0022,0.64,3.27,-1.92,Alert
0.299,0.0011,0.28,3.2,-1.09,Alert
0.3006,0.0019,0.47,3.31,-1.91,Alert
0.3028,0.0018,0.19,3.11,-0.75,Alert
0.3037,0.002,0.49,3.09,-0.75,Alert
0.292,0.0032,0.24,3.17,-1.32,Alert
0.2795,0.0028,0.38,3.2,-0.62,Alert
0.282,0.0029,0.59,3.2,-1.54,Alert
0.2853,0.0022,0.62,3.13,-1.67,Alert
0.2849,0.0036,0.88,3.19,-1.27,Alert
0.2973,0.0032,1.05,3.11,-1.41,Alert
0.2969,0.003,0.69,3.18,-1.57,Alert
0.278,0.003,0.97,3.15,-1.65,Alert
0.2734,0.0023,0.45,3.09,-1.14,Alert
0.2722,0.0017,1.1,2.94,-1.61,Alert
0.2749,0.0036,1.26,3.05,-0.45,Alert
0.2826,0.0026,0.53,2.94,-0.35,Alert
0.2678,0.0018,1.19,2.89,-1.63,Alert
0.2618,0.002,0.76,3.08,-1.34,Alert
0.261,0.0013,1.05,3.02,-2.13,Alert
0.2595,0.0022,1.44,3.07,-2.12,Alert
0.267,0.0026,0.8,3.16,-2.24,Alert
0.2631,0.002,0.74,3.12,-1.96,Alert
0.262,0.0021,-0.08,3.03,-1.59,Alert
0.2592,0.0035,0.75,3.16,-1.76,Alert
0.2595,0.0027,0.65,3.11,-1.21,Alert
0.2486,0.002,-0.23,3.08,-0.65,Alert
0.2467,0.0019,-0.17,3.29,-0.21,Alert
0.2477,0.0013,-0.56,3.14,-0.23,Alert
0.2326,0.0031,-0.38,3.26,-0.36,Alert
0.2415,0.0026,-0.9,3.31,-0.87,Alert
0.2326,0.0023,-0.37,3.38,-0.83,Alert
0.229,0.0035,-0.07,3.24,-0.79,Alert
0.2261,0.003,0.09,3.42,-1.46,Alert
0.2258,0.0038,-0.38,3.36,-0.04,Alert
0.2344,0.0029,0.11,3.14,0.13,Alert
0.2308,0.0048,0.2,3.14,0.45,Alert
0.2281,0.0027,0.21,3.14,0.06,Alert
0.2205,0.0039,0.21,3.2,-0.76,Alert
0.2145,0.0023,-0.52,3.12,-0.86,Alert
0.2174,0.002,-0.7,3.05,-1.09,Alert
0.2143,0.0019,-0.69,3.25,-1.47,Alert
0.2174,0.0032,-0.52,3.21,-0.91,Alert
0.2133,0.0025,-0.6,3.22,-1.34,Alert
0.2172,0.0024,-0.78,3.23,-1.22,Alert
0.2173,0.0035,-0.55,3.25,-1.18,Alert
0.22,0.0029,-0.68,3.38,-1.19,Alert
0.2136,0.0032,-0.79,3.29,-1.64,Alert
0.2075,0.0026,-0.49,3.3,-0.83,Alert
0.2097,0.0034,0.03,3.34,-1.25,Alert
0.214,0.0029,-0.1,3.27,-0.97,Alert
0.2067,0.0023,-0.1,3.37,-1.56,Slightly_Drowsy
0.2154,0.0039,-0.03,3.43,-1.33,Slightly_Drowsy
0.2154,0.0039,-0.23,3.42,-1.2,Slightly_Drowsy
0.2083,0.0026,-0.14,3.43,-2.3,Slightly_Drowsy
0.2083,0.0023,-0.06,3.29,-1.82,Slightly_Drowsy
0.2205,0.0034,-0.08,3.36,-1.71,Slightly_Drowsy
0.2164,0.0038,0.03,3.29,-1.9,Slightly_Drowsy
0.2086,0.003,-0.18,3.45,-2.2,Slightly_Drowsy
0.2198,0.0038,0.02,3.39,-0.89,Slightly_Drowsy
0.2263,0.0034,1.15,3.25,-1.13,Slightly_Drowsy
0.2322,0.0043,0.8,3.28,-0.69,Slightly_Drowsy
